"customer","RECENCY","frequency","monetary","R_SCORE","F_SCORE","M_SCORE","SEGMENT"
"12515","315","1","383.7","1","2","2","OTHER CUSTOMER"
"12516","39","2","1312.06","2","3","4","OTHER CUSTOMER"
"12517","-10","6","2443.65","4","4","5","GOOD CUSTOMER"
"12518","-38","5","2056.89","5","4","5","GOOD CUSTOMER"
"12519","25","1","330.84","3","2","2","AVERAGE CUSTOMER"
"12520","41","6","2582.5099999999998","2","4","5","OTHER CUSTOMER"
"12521","104","1","599.68","2","2","3","AVERAGE CUSTOMER"
"12522","1","2","192.72","3","2","1","OTHER CUSTOMER"
"12523","-37","13","1745.57","5","5","4","GOOD CUSTOMER"
"12524","-29","8","4485.72","5","5","5","GOOD CUSTOMER"
"12526","-38","3","1316.66","5","3","4","OTHER CUSTOMER"
"12527","43","3","348.71","2","3","2","AVERAGE CUSTOMER"
"12528","-29","8","1922.28","5","5","4","GOOD CUSTOMER"
"12530","21","5","1623.63","3","4","4","OTHER CUSTOMER"
"12531","-24","1","125.22","4","1","1","OTHER CUSTOMER"
"12532","-8","1","349.83","4","2","2","OTHER CUSTOMER"
"12534","92","1","1089.18","2","2","4","OTHER CUSTOMER"
"12535","53","2","716.35","2","3","3","AVERAGE CUSTOMER"
"12536","-31","5","4106.82","5","4","5","GOOD CUSTOMER"
"12538","-9","1","363.95","4","2","2","OTHER CUSTOMER"
"12539","-16","5","3852.5","4","4","5","GOOD CUSTOMER"
"12540","-19","19","13309.039999999999","4","5","5","GOOD CUSTOMER"
"12541","-9","3","981.18","4","3","4","OTHER CUSTOMER"
"12544","-9","2","355.7","4","2","2","OTHER CUSTOMER"
"12545","37","2","1000.39","2","3","4","OTHER CUSTOMER"
"12546","8","3","1141.5","3","3","4","OTHER CUSTOMER"
"12547","159","2","207.8","1","2","1","OTHER CUSTOMER"
"12548","128","1","95.19999999999999","2","1","1","OTHER CUSTOMER"
"12550","41","1","964.83","2","2","4","OTHER CUSTOMER"
"12551","319","1","168","1","1","1","OTHER CUSTOMER"
"12552","0","2","437.82","3","2","2","AVERAGE CUSTOMER"
"12553","-30","14","3652.25","5","5","5","GOOD CUSTOMER"
"12556","12","2","599.5600000000001","3","3","3","AVERAGE CUSTOMER"
"12557","-22","5","11990.960000000001","4","4","5","GOOD CUSTOMER"
"12558","-37","2","0","5","2","1","OTHER CUSTOMER"
"12559","272","3","536.21","1","3","3","OTHER CUSTOMER"
"12560","-33","4","2101.39","5","4","5","GOOD CUSTOMER"
"12561","264","1","238.85","1","1","2","OTHER CUSTOMER"
"12562","-30","7","3781.7400000000002","5","5","5","GOOD CUSTOMER"
"12564","223","1","456.9","1","2","2","OTHER CUSTOMER"
"12565","243","2","131.17","1","2","1","OTHER CUSTOMER"
"12566","34","2","346.7","2","2","2","AVERAGE CUSTOMER"
"12567","-16","11","9114.94","4","5","5","GOOD CUSTOMER"
"12569","-36","35","4064.99","5","5","5","GOOD CUSTOMER"
"12571","1","2","519.61","3","3","3","AVERAGE CUSTOMER"
"12572","-30","3","1004.72","5","3","4","OTHER CUSTOMER"
"12573","189","1","160.54","1","1","1","OTHER CUSTOMER"
"12574","277","1","218.45","1","1","1","OTHER CUSTOMER"
"12576","-3","6","1306.98","3","4","4","OTHER CUSTOMER"
"12577","-3","4","564.2","3","4","3","OTHER CUSTOMER"
"12578","-17","4","2753.36","4","4","5","GOOD CUSTOMER"
"12579","35","3","410.71999999999997","2","3","2","AVERAGE CUSTOMER"
"12580","208","1","415.7","1","2","2","OTHER CUSTOMER"
"12581","1","1","197.71","3","1","1","OTHER CUSTOMER"
"12582","200","2","511.36","1","3","3","OTHER CUSTOMER"
"12583","-36","18","7187.34","5","5","5","GOOD CUSTOMER"
"12584","-35","18","1893.95","5","5","4","GOOD CUSTOMER"
"12585","196","4","1982.81","1","4","4","OTHER CUSTOMER"
"12586","-21","2","179.94","4","2","1","OTHER CUSTOMER"
"12587","-31","1","144","5","1","1","OTHER CUSTOMER"
"12588","1","1","214.9","3","1","1","OTHER CUSTOMER"
"12589","-10","2","646.68","4","3","3","OTHER CUSTOMER"
"12590","152","3","9861.38","1","3","5","OTHER CUSTOMER"
"12591","279","1","452.84999999999997","1","2","2","OTHER CUSTOMER"
"12592","54","2","437.6","2","2","2","AVERAGE CUSTOMER"
"12593","70","3","418.1","2","3","2","AVERAGE CUSTOMER"
"12594","-1","11","3320.22","3","5","5","OTHER CUSTOMER"
"12596","13","2","618.27","3","3","3","AVERAGE CUSTOMER"
"12597","-19","5","3683.13","4","4","5","GOOD CUSTOMER"
"12598","-29","9","3002.68","5","5","5","GOOD CUSTOMER"
"12599","-9","7","1032.58","4","5","4","GOOD CUSTOMER"
"12600","-10","11","2581.04","4","5","5","GOOD CUSTOMER"
"12601","151","6","569.56","1","4","3","OTHER CUSTOMER"
"12602","20","1","153.12","3","1","1","OTHER CUSTOMER"
"12603","-17","1","739.2","4","2","3","OTHER CUSTOMER"
"12604","41","2","254.18","2","2","2","AVERAGE CUSTOMER"
"12605","327","1","-7.5","1","1","1","OTHER CUSTOMER"
"12607","20","2","0","3","2","1","OTHER CUSTOMER"
"12609","40","3","1126.85","2","3","4","OTHER CUSTOMER"
"12610","-16","7","2057.99","4","5","5","GOOD CUSTOMER"
"12611","14","1","1193.32","3","2","4","OTHER CUSTOMER"
"12612","19","2","643.59","3","3","3","AVERAGE CUSTOMER"
"12613","-7","6","3218.98","4","4","5","GOOD CUSTOMER"
"12614","239","1","315.6","1","1","2","OTHER CUSTOMER"
"12615","-36","4","2291.19","5","4","5","GOOD CUSTOMER"
"12616","47","5","657.25","2","4","3","OTHER CUSTOMER"
"12617","-9","1","352.98","4","2","2","OTHER CUSTOMER"
"12618","-17","1","177.31","4","1","1","OTHER CUSTOMER"
"12619","-22","13","3214.81","4","5","5","GOOD CUSTOMER"
"12620","-24","3","1339.41","4","3","4","OTHER CUSTOMER"
"12621","-37","23","13612.07","5","5","5","GOOD CUSTOMER"
"12622","194","1","180.1","1","1","1","OTHER CUSTOMER"
"12623","238","1","305.1","1","1","2","OTHER CUSTOMER"
"12624","68","2","641.13","2","3","3","AVERAGE CUSTOMER"
"12625","173","3","2614.32","1","3","5","OTHER CUSTOMER"
"12626","-15","13","6388.35","4","5","5","GOOD CUSTOMER"
"12627","-28","7","4478.53","5","5","5","GOOD CUSTOMER"
"12628","-34","4","769.61","5","4","3","OTHER CUSTOMER"
"12630","-29","2","1270.8799999999999","5","3","4","OTHER CUSTOMER"
"12631","19","1","640.5","3","2","3","AVERAGE CUSTOMER"
"12633","20","5","2140.63","3","4","5","OTHER CUSTOMER"
"12635","51","2","1689.18","2","3","4","OTHER CUSTOMER"
"12637","29","10","5934.25","3","5","5","OTHER CUSTOMER"
"12638","-5","1","671.69","3","2","3","AVERAGE CUSTOMER"
"12639","200","1","486.1","1","2","3","OTHER CUSTOMER"
"12640","-15","3","1174.58","4","3","4","OTHER CUSTOMER"
"12641","77","1","185.9","2","1","1","OTHER CUSTOMER"
"12642","-13","3","1013.26","4","3","4","OTHER CUSTOMER"
"12643","90","6","3344.64","2","4","5","OTHER CUSTOMER"
"12644","91","1","477.90999999999997","2","2","3","AVERAGE CUSTOMER"
"12645","-5","5","1755.3799999999999","3","4","4","OTHER CUSTOMER"
"12646","-34","2","1346.97","5","3","4","OTHER CUSTOMER"
"12647","-16","13","3669.92","4","5","5","GOOD CUSTOMER"
"12648","116","1","318.05","2","1","2","OTHER CUSTOMER"
"12649","69","4","603.71","2","4","3","OTHER CUSTOMER"
"12650","-35","1","314.44","5","1","2","OTHER CUSTOMER"
"12651","296","1","114","1","1","1","OTHER CUSTOMER"
"12652","284","2","914.53","1","3","4","OTHER CUSTOMER"
"12653","110","2","2209.85","2","3","5","OTHER CUSTOMER"
"12654","-28","5","601.98","5","4","3","OTHER CUSTOMER"
"12656","-21","8","3982.72","4","5","5","GOOD CUSTOMER"
"12657","-27","5","1152.06","5","4","4","GOOD CUSTOMER"
"12658","-20","1","686.05","4","2","3","OTHER CUSTOMER"
"12659","-9","1","91.67999999999999","4","1","1","OTHER CUSTOMER"
"12660","-27","1","245.1","4","1","2","OTHER CUSTOMER"
"12662","-38","12","3817.08","5","5","5","GOOD CUSTOMER"
"12664","-30","10","4863.88","5","5","5","GOOD CUSTOMER"
"12665","286","2","61.75","1","2","1","OTHER CUSTOMER"
"12666","321","1","-227.44","1","1","1","OTHER CUSTOMER"
"12667","20","1","620.13","3","2","3","AVERAGE CUSTOMER"
"12668","-31","6","3743.18","5","4","5","GOOD CUSTOMER"
"12669","112","4","1607.73","2","4","4","OTHER CUSTOMER"
"12670","-28","6","2986.15","5","4","5","GOOD CUSTOMER"
"12672","291","1","225.9","1","1","1","OTHER CUSTOMER"
"12673","-33","2","610.52","5","3","3","OTHER CUSTOMER"
"12674","-27","7","1922.26","5","5","4","GOOD CUSTOMER"
"12676","-14","6","1331.39","4","4","4","GOOD CUSTOMER"
"12678","4","13","17588.26","3","5","5","OTHER CUSTOMER"
"12679","14","9","1058.67","3","5","4","OTHER CUSTOMER"
"12680","-38","4","862.81","5","4","3","OTHER CUSTOMER"
"12681","-24","27","13677.59","4","5","5","GOOD CUSTOMER"
"12682","-35","31","12279.82","5","5","5","GOOD CUSTOMER"
"12683","-34","20","8221.09","5","5","5","GOOD CUSTOMER"
"12684","-31","7","2283.63","5","5","5","GOOD CUSTOMER"
"12685","-10","6","2863.08","4","4","5","GOOD CUSTOMER"
"12686","333","1","89.14","1","1","1","OTHER CUSTOMER"
"12688","75","1","4873.81","2","2","5","OTHER CUSTOMER"
"12689","-13","2","1247.61","4","3","4","OTHER CUSTOMER"
"12690","167","1","389.01","1","2","2","OTHER CUSTOMER"
"12691","-10","6","1035.8","4","4","4","GOOD CUSTOMER"
"12693","82","6","830.96","2","4","3","OTHER CUSTOMER"
"12694","32","2","869.67","3","3","3","AVERAGE CUSTOMER"
"12695","-31","4","582.1","5","4","3","OTHER CUSTOMER"
"12697","-17","5","939.02","4","4","4","GOOD CUSTOMER"
"12700","-31","6","4867.99","5","4","5","GOOD CUSTOMER"
"12701","41","2","797.71","2","3","3","AVERAGE CUSTOMER"
"12702","-19","1","219","4","1","1","OTHER CUSTOMER"
"12703","26","2","274.7","3","2","2","AVERAGE CUSTOMER"
"12704","-31","10","2220.84","5","5","5","GOOD CUSTOMER"
"12705","-23","14","6814.24","4","5","5","GOOD CUSTOMER"
"12707","253","1","603.42","1","2","3","OTHER CUSTOMER"
"12708","-9","16","2616.32","4","5","5","GOOD CUSTOMER"
"12709","-35","26","9264.1","5","5","5","GOOD CUSTOMER"
"12710","58","4","1130.57","2","4","4","OTHER CUSTOMER"
"12712","-16","17","4241.63","4","5","5","GOOD CUSTOMER"
"12713","-38","1","848.55","5","2","3","OTHER CUSTOMER"
"12714","-29","5","4708.86","5","4","5","GOOD CUSTOMER"
"12715","68","1","343.36","2","2","2","AVERAGE CUSTOMER"
"12716","-35","2","1053.49","5","3","4","OTHER CUSTOMER"
"12717","113","3","980.98","2","3","4","OTHER CUSTOMER"
"12718","33","1","238.25","2","1","2","OTHER CUSTOMER"
"12719","-33","3","608.1","5","3","3","OTHER CUSTOMER"
"12720","-36","29","5713.28","5","5","5","GOOD CUSTOMER"
"12721","-7","7","2628.98","4","5","5","GOOD CUSTOMER"
"12722","47","6","904.33","2","4","4","OTHER CUSTOMER"
"12723","-35","5","725.07","5","4","3","OTHER CUSTOMER"
"12724","-33","4","1031.41","5","4","4","GOOD CUSTOMER"
"12725","333","1","427.8","1","2","2","OTHER CUSTOMER"
"12726","-10","7","2609.1","4","5","5","GOOD CUSTOMER"
"12727","-28","9","3947.7","5","5","5","GOOD CUSTOMER"
"12728","33","4","836.33","2","4","3","OTHER CUSTOMER"
"12729","75","1","453.01","2","2","2","AVERAGE CUSTOMER"
"12731","-15","14","18793.41","4","5","5","GOOD CUSTOMER"
"12732","141","1","236.26000000000002","1","1","2","OTHER CUSTOMER"
"12733","196","1","383.95","1","2","2","OTHER CUSTOMER"
"12734","314","1","110.39999999999999","1","1","1","OTHER CUSTOMER"
"12735","277","2","779.5699999999999","1","3","3","OTHER CUSTOMER"
"12736","294","1","234","1","1","2","OTHER CUSTOMER"
"12738","334","1","155.35","1","1","1","OTHER CUSTOMER"
"12739","40","2","1013.04","2","3","4","OTHER CUSTOMER"
"12740","25","1","427.6","3","2","2","AVERAGE CUSTOMER"
"12743","96","2","540.13","2","3","3","AVERAGE CUSTOMER"
"12744","13","10","9120.39","3","5","5","OTHER CUSTOMER"
"12747","-36","11","4196.01","5","5","5","GOOD CUSTOMER"
"12748","-38","224","28405.56","5","5","5","GOOD CUSTOMER"
"12749","-35","8","3868.2","5","5","5","GOOD CUSTOMER"
"12750","90","1","275.88","2","1","2","OTHER CUSTOMER"
"12752","43","1","4366.78","2","2","5","OTHER CUSTOMER"
"12753","-35","11","21024.01","5","5","5","GOOD CUSTOMER"
"12754","197","5","2949.1200000000003","1","4","5","OTHER CUSTOMER"
"12755","211","4","2203.2","1","4","5","OTHER CUSTOMER"
"12756","48","1","112.08","2","1","1","OTHER CUSTOMER"
"12757","-23","19","4205.25","4","5","5","GOOD CUSTOMER"
"12758","78","2","2791.59","2","3","5","OTHER CUSTOMER"
"12759","14","3","1531.44","3","3","4","OTHER CUSTOMER"
"12762","-31","2","1898.52","5","3","4","OTHER CUSTOMER"
"12763","100","2","494.08","2","3","3","AVERAGE CUSTOMER"
"12764","278","1","1693.88","1","2","4","OTHER CUSTOMER"
"12766","-35","7","6989.63","5","5","5","GOOD CUSTOMER"
"12769","200","1","1143.6","1","2","4","OTHER CUSTOMER"
"12770","172","1","1351.45","1","2","4","OTHER CUSTOMER"
"12772","21","1","892.47","3","2","3","AVERAGE CUSTOMER"
"12775","-21","6","1351.24","4","4","4","GOOD CUSTOMER"
"12778","-19","7","804.23","4","4","3","OTHER CUSTOMER"
"12779","-17","12","3868.7","4","5","5","GOOD CUSTOMER"
"12781","-17","5","707.72","4","4","3","OTHER CUSTOMER"
"12782","-34","6","2273.32","5","4","5","GOOD CUSTOMER"
"12783","-36","8","1603.87","5","5","4","GOOD CUSTOMER"
"12784","-29","2","532.82","5","3","3","OTHER CUSTOMER"
"12785","-36","2","305.71","5","2","2","OTHER CUSTOMER"
"12787","-29","3","463.66","5","3","3","OTHER CUSTOMER"
"12789","27","1","91.85","3","1","1","OTHER CUSTOMER"
"12790","154","1","324.92","1","1","2","OTHER CUSTOMER"
"12791","335","1","192.6","1","1","1","OTHER CUSTOMER"
"12792","218","1","400.54","1","2","2","OTHER CUSTOMER"
"12793","296","2","545.48","1","3","3","OTHER CUSTOMER"
"12794","15","2","860.41","3","3","3","AVERAGE CUSTOMER"
"12795","-20","1","430.48","4","2","2","OTHER CUSTOMER"
"12797","322","3","194.18","1","3","1","OTHER CUSTOMER"
"12798","-28","3","6977.04","5","3","5","OTHER CUSTOMER"
"12802","145","2","412.58","1","2","2","OTHER CUSTOMER"
"12808","-2","3","483.65","3","3","3","AVERAGE CUSTOMER"
"12809","130","2","484.36","2","3","3","AVERAGE CUSTOMER"
"12811","222","3","514.85","1","3","3","OTHER CUSTOMER"
"12812","6","1","229.64","3","1","1","OTHER CUSTOMER"
"12814","63","1","125.92","2","1","1","OTHER CUSTOMER"
"12815","109","2","1063.46","2","3","4","OTHER CUSTOMER"
"12816","57","2","572.2","2","3","3","AVERAGE CUSTOMER"
"12817","243","1","166.04","1","1","1","OTHER CUSTOMER"
"12818","140","2","1517.8799999999999","2","3","4","OTHER CUSTOMER"
"12820","-35","4","942.34","5","4","4","GOOD CUSTOMER"
"12821","176","1","92.72","1","1","1","OTHER CUSTOMER"
"12822","32","3","918.98","3","3","4","OTHER CUSTOMER"
"12823","36","5","1759.5","2","4","4","OTHER CUSTOMER"
"12824","21","1","397.12","3","2","2","AVERAGE CUSTOMER"
"12826","-36","8","1468.12","5","5","4","GOOD CUSTOMER"
"12827","-33","3","430.15","5","3","2","OTHER CUSTOMER"
"12828","-36","6","1018.7099999999999","5","4","4","GOOD CUSTOMER"
"12829","284","3","253.05","1","3","2","OTHER CUSTOMER"
"12830","-1","7","6748.4","3","5","5","OTHER CUSTOMER"
"12831","224","1","215.05","1","1","1","OTHER CUSTOMER"
"12832","-6","2","383.03000000000003","3","2","2","AVERAGE CUSTOMER"
"12833","107","1","417.38","2","2","2","AVERAGE CUSTOMER"
"12834","244","1","312.38","1","1","2","OTHER CUSTOMER"
"12836","21","4","2610.36","3","4","5","OTHER CUSTOMER"
"12837","135","1","134.1","2","1","1","OTHER CUSTOMER"
"12838","-5","2","671.95","3","3","3","AVERAGE CUSTOMER"
"12839","-36","16","5583.62","5","5","5","GOOD CUSTOMER"
"12840","105","6","2714.27","2","4","5","OTHER CUSTOMER"
"12841","-34","26","3845.63","5","5","5","GOOD CUSTOMER"
"12842","32","2","1118.99","3","3","4","OTHER CUSTOMER"
"12843","27","9","1680.76","3","5","4","OTHER CUSTOMER"
"12844","-9","2","325.96","4","2","2","OTHER CUSTOMER"
"12845","229","4","354.09000000000003","1","4","2","OTHER CUSTOMER"
"12847","-16","1","843.64","4","2","3","OTHER CUSTOMER"
"12849","-7","2","1010.29","4","3","4","OTHER CUSTOMER"
"12851","58","1","131.81","2","1","1","OTHER CUSTOMER"
"12852","252","2","299.75","1","2","2","OTHER CUSTOMER"
"12853","69","9","1881.7","2","5","4","OTHER CUSTOMER"
"12854","40","5","1280.9","2","4","4","OTHER CUSTOMER"
"12855","334","1","38.099999999999994","1","1","1","OTHER CUSTOMER"
"12856","-31","8","2153.53","5","5","5","GOOD CUSTOMER"
"12857","172","2","1106.4","1","3","4","OTHER CUSTOMER"
"12863","14","2","504.2","3","3","3","AVERAGE CUSTOMER"
"12864","100","1","147.12","2","1","1","OTHER CUSTOMER"
"12865","-12","3","1548.07","4","3","4","OTHER CUSTOMER"
"12866","245","1","559.12","1","2","3","OTHER CUSTOMER"
"12867","-12","10","3958.74","4","5","5","GOOD CUSTOMER"
"12868","147","6","1607.06","1","4","4","OTHER CUSTOMER"
"12870","328","1","-14.899999999999999","1","1","1","OTHER CUSTOMER"
"12871","46","2","380.64","2","2","2","AVERAGE CUSTOMER"
"12872","288","2","599.97","1","3","3","OTHER CUSTOMER"
"12873","244","1","374","1","2","2","OTHER CUSTOMER"
"12875","105","2","343.23","2","2","2","AVERAGE CUSTOMER"
"12876","19","2","2218.02","3","3","5","OTHER CUSTOMER"
"12877","-35","12","1535.77","5","5","4","GOOD CUSTOMER"
"12878","-20","3","841.64","4","3","3","OTHER CUSTOMER"
"12879","6","4","552.57","3","4","3","OTHER CUSTOMER"
"12881","237","1","298","1","1","2","OTHER CUSTOMER"
"12882","-29","2","1463.04","5","3","4","OTHER CUSTOMER"
"12883","-14","4","703.47","4","4","3","OTHER CUSTOMER"
"12884","50","1","309.05","2","1","2","OTHER CUSTOMER"
