"customerid","totalrevenue","totalorders","lastpurchasedate"
"12457","1917.78","12","20-04-2011"
"12458","947.4","2","29-09-2011"
"12461","826.88","2","08-07-2011"
"12462","1124.01","4","21-11-2011"
"12463","1303.63","7","24-10-2011"
"12464","1212.05","8","29-11-2011"
"12465","733.89","3","23-06-2011"
"12468","724.0400000000001","3","27-01-2011"
"12471","18705.52","49","29-11-2011"
"12472","6229.48","13","30-03-2011"
"12473","2837.73","9","17-10-2011"
"12474","7064.7699999999995","30","28-03-2011"
"12475","723.38","1","17-10-2011"
"12476","6546.58","20","31-01-2011"
"12477","13117.01","9","31-08-2011"
"12478","680.99","1","06-12-2011"
"12479","477.3","3","28-11-2011"
"12480","3281.63","4","19-07-2011"
"12481","5574.36","11","28-03-2011"
"12483","2327.13","13","30-10-2011"
"12484","4480.87","8","31-08-2011"
"12488","1298.66","3","31-10-2011"
"12489","334.93","1","07-01-2011"
"12490","5417.93","10","31-08-2011"
"12491","460.40000000000003","1","01-11-2011"
"12492","263.21000000000004","2","26-08-2011"
"12493","416.79","3","31-05-2011"
"12494","1139.3500000000001","13","30-11-2011"
"12497","1043.1","1","19-09-2011"
"12498","403.70000000000005","3","18-11-2011"
"12500","4206.27","13","25-08-2011"
"12501","2089.68","2","28-01-2011"
"12502","3723.87","5","16-03-2011"
"12503","-1126","1","06-01-2011"
"12504","114","4","21-11-2011"
"12505","-4.5","1","11-02-2011"
"12506","73.5","1","21-04-2011"
"12507","1258.06","4","28-07-2011"
"12508","397.88","2","13-11-2011"
"12509","176.5","1","28-02-2011"
"12510","982.5699999999999","2","20-07-2011"
"12512","132.18","2","04-10-2011"
"12513","586.79","2","19-08-2011"
"12514","1017.68","1","17-03-2011"
"12515","383.7","1","21-12-2010"
"12516","1312.06","2","23-09-2011"
"12517","2443.65","6","27-09-2011"
"12518","2056.89","5","23-09-2011"
"12519","330.84","1","07-10-2011"
"12520","2582.51","6","25-03-2011"
"12521","599.68","1","20-07-2011"
"12522","192.72","2","31-10-2011"
"12523","1745.57","13","27-10-2011"
"12524","4485.72","8","30-11-2011"
"12526","1316.66","3","17-10-2011"
"12527","348.71000000000004","3","19-09-2011"
"12528","1922.28","8","31-01-2011"
"12530","1623.63","5","23-08-2011"
"12531","125.22","1","25-11-2011"
"12532","349.83000000000004","1","09-11-2011"
"12534","1089.18","1","01-08-2011"
"12535","716.35","2","09-09-2011"
"12536","4106.82","5","27-10-2011"
"12538","363.95","1","10-11-2011"
"12539","3852.5","5","27-01-2011"
"12540","13309.039999999999","19","31-05-2011"
"12541","981.18","3","19-06-2011"
"12544","355.7","2","10-11-2011"
"12545","1000.39","2","25-09-2011"
"12546","1141.5","3","24-10-2011"
"12547","207.79999999999998","2","26-05-2011"
"12548","95.19999999999999","1","26-06-2011"
"12550","964.83","1","21-09-2011"
"12551","168","1","17-12-2010"
"12552","437.82","2","31-10-2011"
"12553","3652.25","14","30-11-2011"
"12556","599.56","2","20-10-2011"
"12557","11990.960000000001","5","28-03-2011"
"12558","0","2","08-12-2011"
"12559","536.21","3","24-01-2011"
"12560","2101.39","4","31-08-2011"
"12561","238.85","1","10-02-2011"
"12562","3781.7400000000002","7","25-05-2011"
"12564","456.9","1","23-03-2011"
"12565","131.17","2","24-02-2011"
"12566","346.7","2","28-09-2011"
"12567","9114.94","11","23-08-2011"
"12569","4064.9900000000002","35","30-06-2011"
"12571","519.61","2","31-10-2011"
"12572","1004.72","3","23-10-2011"
"12573","160.54","1","26-04-2011"
"12574","218.45000000000002","1","28-01-2011"
"12576","1306.98","6","25-07-2011"
"12577","564.2","4","15-12-2010"
"12578","2753.36","4","27-01-2011"
"12579","410.71999999999997","3","27-09-2011"
"12580","415.7","1","07-04-2011"
"12581","197.71","1","31-10-2011"
"12582","511.36","2","24-02-2011"
"12583","7187.34","18","30-09-2011"
"12584","1893.95","18","30-11-2011"
"12585","1982.81","4","23-12-2010"
"12586","179.94000000000003","2","22-11-2011"
"12587","144","1","02-12-2011"
"12588","214.89999999999998","1","31-10-2011"
"12589","646.68","2","18-07-2011"
"12590","9861.38","3","12-05-2011"
"12591","452.85","1","26-01-2011"
"12592","437.6","2","10-05-2011"
"12593","418.09999999999997","3","23-08-2011"
"12594","3320.2200000000003","11","31-05-2011"
"12596","618.27","2","19-10-2011"
"12597","3683.13","5","30-10-2011"
"12598","3002.68","9","30-11-2011"
"12599","1032.58","7","28-06-2011"
"12600","2581.04","11","28-04-2011"
"12601","569.5600000000001","6","31-05-2011"
"12602","153.12","1","12-10-2011"
"12603","739.1999999999999","1","18-11-2011"
"12604","254.18","2","23-03-2011"
"12605","-7.5","1","09-12-2010"
"12607","0","2","12-10-2011"
"12609","1126.85","3","25-01-2011"
"12610","2057.99","7","27-10-2011"
"12611","1193.32","1","18-10-2011"
"12612","643.59","2","26-09-2011"
"12613","3218.98","6","26-05-2011"
"12614","315.6","1","07-03-2011"
"12615","2291.19","4","29-09-2011"
"12616","657.25","5","22-02-2011"
"12617","352.98","1","10-11-2011"
"12618","177.31","1","18-11-2011"
"12619","3214.81","13","31-03-2011"
"12620","1339.41","3","25-11-2011"
"12621","13612.07","23","31-08-2011"
"12622","180.1","1","21-04-2011"
"12623","305.1","1","08-03-2011"
"12624","641.13","2","25-08-2011"
"12625","2614.32","3","24-01-2011"
"12626","6388.35","13","30-06-2011"
"12627","4478.53","7","29-11-2011"
"12628","769.61","4","21-11-2011"
"12630","1270.88","2","30-11-2011"
"12631","640.5","1","13-10-2011"
"12633","2140.63","5","27-05-2011"
"12635","1689.18","2","11-09-2011"
"12637","5934.25","10","27-01-2011"
"12638","671.69","1","06-11-2011"
"12639","486.1","1","15-04-2011"
"12640","1174.58","3","19-09-2011"
"12641","185.9","1","16-08-2011"
"12642","1013.26","3","24-08-2011"
"12643","3344.64","6","20-06-2011"
"12644","477.91","1","02-08-2011"
"12645","1755.38","5","27-01-2011"
"12646","1346.97","2","21-10-2011"
"12647","3669.92","13","24-05-2011"
"12648","318.05","1","08-07-2011"
"12649","603.71","4","24-08-2011"
"12650","314.44","1","06-12-2011"
"12651","114","1","09-01-2011"
"12652","914.53","2","21-01-2011"
"12653","2209.85","2","16-02-2011"
"12654","601.98","5","29-11-2011"
"12656","3982.72","8","28-09-2011"
"12657","1152.06","5","28-11-2011"
"12658","686.05","1","21-11-2011"
"12659","91.68","1","10-11-2011"
"12660","245.1","1","28-11-2011"
"12662","3817.08","12","24-08-2011"
"12664","4863.88","10","23-11-2011"
"12665","61.75","2","19-01-2011"
"12666","-227.44","1","15-12-2010"
"12667","620.13","1","12-10-2011"
"12668","3743.18","6","31-01-2011"
"12669","1607.73","4","28-03-2011"
"12670","2986.15","6","29-11-2011"
"12672","225.9","1","14-01-2011"
"12673","610.52","2","17-01-2011"
"12674","1922.26","7","30-06-2011"
"12676","1331.39","6","30-09-2011"
"12678","17588.26","13","31-08-2011"
"12679","1058.67","9","18-10-2011"
"12680","862.81","4","27-09-2011"
"12681","13677.59","27","31-01-2011"
"12682","12279.82","31","31-08-2011"
"12683","8221.09","20","26-08-2011"
"12684","2283.63","7","26-05-2011"
"12685","2863.08","6","25-09-2011"
"12686","89.14","1","03-12-2010"
"12688","4873.81","1","18-08-2011"
"12689","1247.61","2","14-11-2011"
"12690","389.01","1","18-05-2011"
"12691","1035.8","6","25-01-2011"
"12693","830.96","6","24-03-2011"
"12694","869.67","2","30-09-2011"
"12695","582.1","4","24-08-2011"
"12697","939.02","5","31-07-2011"
"12700","4867.99","6","08-05-2011"
"12701","797.71","2","21-09-2011"
"12702","219","1","20-11-2011"
"12703","274.7","2","29-09-2011"
"12704","2220.84","10","26-08-2011"
"12705","6814.24","14","28-10-2011"
"12707","603.42","1","21-02-2011"
"12708","2616.32","16","30-08-2011"
"12709","9264.1","26","30-03-2011"
"12710","1130.57","4","22-05-2011"
"12712","4241.63","17","25-08-2011"
"12713","848.55","1","09-12-2011"
"12714","4708.86","5","30-11-2011"
"12715","343.36","1","25-08-2011"
"12716","1053.49","2","29-07-2011"
"12717","980.98","3","11-07-2011"
"12718","238.25","1","29-09-2011"
"12719","608.1","3","11-10-2011"
"12720","5713.28","29","31-10-2011"
"12721","2628.98","7","21-09-2011"
"12722","904.33","6","28-07-2011"
"12723","725.07","5","23-11-2011"
"12724","1031.41","4","19-09-2011"
"12725","427.8","1","03-12-2010"
"12726","2609.1","7","28-01-2011"
"12727","3947.7","9","29-11-2011"
"12728","836.33","4","29-09-2011"
"12729","453.01","1","18-08-2011"
"12731","18793.41","14","31-03-2011"
"12732","236.26000000000002","1","13-06-2011"
"12733","383.95","1","19-04-2011"
"12734","110.39999999999999","1","22-12-2010"
"12735","779.5699999999999","2","28-01-2011"
"12736","234","1","11-01-2011"
"12738","155.35","1","02-12-2010"
"12739","1013.04","2","22-09-2011"
"12740","427.6","1","07-10-2011"
"12743","540.13","2","28-07-2011"
"12744","9120.39","10","25-01-2011"
"12747","4196.01","11","28-06-2011"
"12748","28405.56","224","31-07-2011"
"12749","3868.2","8","23-05-2011"
"12750","275.88","1","03-08-2011"
"12752","4366.78","1","19-09-2011"
"12753","21024.01","11","27-07-2011"
"12754","2949.12","5","18-04-2011"
"12755","2203.2","4","09-12-2010"
"12756","112.08","1","14-09-2011"
"12757","4205.25","19","24-11-2011"
"12758","2791.59","2","15-08-2011"
"12759","1531.44","3","21-06-2011"
"12762","1898.52","2","14-11-2011"
"12763","494.08","2","24-07-2011"
"12764","1693.88","1","27-01-2011"
"12766","6989.63","7","21-02-2011"
"12769","1143.6","1","15-04-2011"
"12770","1351.45","1","13-05-2011"
"12772","892.47","1","11-10-2011"
"12775","1351.24","6","22-11-2011"
"12778","804.23","7","31-01-2011"
"12779","3868.7","12","25-05-2011"
"12781","707.72","5","28-02-2011"
"12782","2273.32","6","31-03-2011"
"12783","1603.8700000000001","8","25-09-2011"
"12784","532.82","2","30-11-2011"
"12785","305.71","2","10-12-2010"
"12787","463.66","3","31-05-2011"
"12789","91.85","1","05-10-2011"
"12790","324.92","1","31-05-2011"
"12791","192.60000000000002","1","01-12-2010"
"12792","400.53999999999996","1","28-03-2011"
"12793","545.48","2","09-01-2011"
"12794","860.41","2","17-10-2011"
"12795","430.48","1","21-11-2011"
"12797","194.18","3","14-12-2010"
"12798","6977.04","3","29-11-2011"
"12802","412.58","2","09-06-2011"
"12808","483.65000000000003","3","08-06-2011"
"12809","484.36","2","24-06-2011"
"12811","514.85","3","28-02-2011"
"12812","229.64000000000001","1","26-10-2011"
"12814","125.92","1","30-08-2011"
"12815","1063.46","2","25-05-2011"
"12816","572.2","2","16-06-2011"
"12817","166.04","1","03-03-2011"
"12818","1517.88","2","23-03-2011"
"12820","942.34","4","26-10-2011"
"12821","92.72","1","09-05-2011"
"12822","918.98","3","30-09-2011"
"12823","1759.5","5","30-03-2011"
"12824","397.12","1","11-10-2011"
"12826","1468.1200000000001","8","29-09-2011"
"12827","430.15000000000003","3","26-10-2011"
"12828","1018.71","6","19-08-2011"
"12829","253.05","3","21-01-2011"
"12830","6748.400000000001","7","28-07-2011"
"12831","215.04999999999998","1","22-03-2011"
"12832","383.03","2","07-11-2011"
"12833","417.38","1","17-07-2011"
"12834","312.38","1","02-03-2011"
"12836","2610.36","4","25-07-2011"
"12837","134.1","1","19-06-2011"
"12838","671.95","2","06-11-2011"
"12839","5583.62","16","29-09-2011"
"12840","2714.27","6","27-04-2011"
"12841","3845.63","26","31-01-2011"
"12842","1118.99","2","30-09-2011"
"12843","1680.76","9","24-06-2011"
"12844","325.96000000000004","2","10-11-2011"
"12845","354.09","4","22-02-2011"
"12847","843.64","1","17-11-2011"
"12849","1010.29","2","16-03-2011"
"12851","131.81","1","04-09-2011"
"12852","299.75","2","22-02-2011"
"12853","1881.7","9","31-01-2011"
"12854","1280.9","5","25-01-2011"
"12855","38.1","1","02-12-2010"
"12856","2153.53","8","31-10-2011"
"12857","1106.4","2","13-05-2011"
"12863","504.2","2","24-05-2011"
"12864","147.12","1","24-07-2011"
"12865","1548.07","3","15-12-2010"
"12866","559.12","1","01-03-2011"
"12867","3958.74","10","27-06-2011"
"12868","1607.0600000000002","6","27-01-2011"
"12870","-14.899999999999999","1","08-12-2010"
"12871","380.64","2","16-09-2011"
"12872","599.97","2","17-01-2011"
"12873","374","1","02-03-2011"
"12875","343.2300000000001","2","19-07-2011"
"12876","2218.02","2","27-05-2011"
"12877","1535.77","12","27-03-2011"
"12878","841.64","3","21-11-2011"
"12879","552.5699999999999","4","26-10-2011"
"12881","298","1","09-03-2011"
"12882","1463.04","2","30-11-2011"
"12883","703.47","4","15-11-2011"
"12884","309.05","1","12-09-2011"
"12885","1158.27","4","11-08-2011"
"12886","1351.09","3","10-05-2011"
"12888","313.77","4","29-03-2011"
"12890","376.71999999999997","1","15-11-2011"
"12891","331","3","20-02-2011"
"12893","176.55","1","09-11-2011"
"12895","347.3","3","28-10-2011"
"12897","216.5","2","19-05-2011"
"12901","16293.1","36","31-08-2011"
"12902","138.68","1","20-03-2011"
"12904","496.06","2","21-11-2011"
"12906","2919.81","5","28-11-2011"
"12908","246","4","31-01-2011"
"12909","2128.83","8","31-10-2011"
"12910","3075.04","8","28-07-2011"
"12912","1662.3","5","30-10-2011"
"12913","2483.63","5","24-11-2011"
"12915","363.65","2","14-07-2011"
"12916","2921.15","5","27-03-2011"
"12917","594","1","03-08-2011"
"12919","1301.44","8","27-06-2011"
"12920","162.78","1","22-11-2011"
"12921","16389.74","50","30-11-2011"
"12922","405.38","1","01-07-2011"
"12923","172.82","1","06-10-2011"
"12924","929.95","5","25-05-2011"
"12925","694.05","2","26-09-2011"
"12928","2062.7000000000003","5","25-10-2011"
"12929","105.1","2","09-08-2011"
"12930","409.90000000000003","4","22-09-2011"
"12931","33462.81","20","31-08-2011"
"12933","606.28","4","21-06-2011"
"12935","2156.45","8","25-05-2011"
"12936","1012.9","5","22-11-2011"
"12937","1504.27","4","29-09-2011"
"12938","114.14","1","14-11-2011"
"12939","11581.8","8","24-07-2011"
"12940","862.4399999999999","4","30-09-2011"
"12942","675.6","3","31-07-2011"
"12943","-3.75","1","11-02-2011"
"12944","604.51","2","20-12-2010"
"12945","462.95","1","24-02-2011"
"12947","1407.29","11","25-01-2011"
"12948","2053.7","8","31-08-2011"
"12949","4143.02","10","17-08-2011"
"12950","1843","3","15-11-2011"
"12951","1042.07","8","29-06-2011"
"12952","1382.8400000000001","5","27-10-2011"
"12953","329.85","1","30-11-2011"
"12955","4734.26","14","28-06-2011"
"12956","108.07","1","06-02-2011"
"12957","3979.04","12","30-11-2011"
"12962","266.39","2","18-08-2011"
"12963","1841.03","9","29-11-2011"
"12965","769.8100000000001","1","11-09-2011"
"12966","160.18","1","30-11-2011"
"12967","1194.75","4","16-12-2010"
"12968","135.95","1","19-08-2011"
"12970","405.46999999999997","4","21-01-2011"
"12971","10930.26","89","30-10-2011"
"12974","144.8","1","26-05-2011"
"12976","738.6","1","12-05-2011"
"12977","39.24","1","06-07-2011"
"12980","7092.06","12","23-12-2010"
"12981","372.21999999999997","2","29-07-2011"
"12982","377.2","2","14-04-2011"
"12984","97.5","1","21-11-2011"
"12985","1215.6200000000001","3","11-11-2011"
"12987","545","3","27-09-2011"
"12988","505.82","1","20-02-2011"
"12989","6854.51","19","23-05-2011"
"12990","409.5","3","08-11-2011"
"12991","503.76","2","19-08-2011"
"12993","414.76","4","16-11-2011"
"12994","902.22","5","24-08-2011"
"12995","200.72","2","23-09-2011"
"12997","1197.94","7","28-01-2011"
"12999","455.88","3","27-05-2011"
"13000","534.85","3","25-08-2011"
"13001","9765.07","15","30-03-2011"
"13002","120.94999999999999","1","25-01-2011"
"13003","149.05","3","26-08-2011"
"13004","5613.43","22","29-07-2011"
"13005","468.95","3","19-06-2011"
"13006","81.57","1","14-10-2011"
"13008","178.46999999999997","2","20-01-2011"
"13011","50.550000000000004","1","02-12-2010"
"13012","1296.6200000000001","11","30-11-2011"
"13013","4786.99","15","28-07-2011"
"13014","3365.43","16","29-11-2011"
"13015","3339.64","5","26-05-2011"
"13016","789.89","3","27-09-2011"
"13017","204","1","02-12-2011"
"13018","7272.75","29","31-07-2011"
"13021","2584.4","12","30-09-2011"
"13023","689.9","2","06-10-2011"
"13026","936.15","8","15-11-2011"
"13027","6912","6","20-12-2010"
"13028","659.68","3","25-10-2011"
"13029","1247.5","3","24-07-2011"
"13030","752.4399999999999","2","28-11-2011"
"13032","996.52","3","18-10-2011"
"13033","190.55","1","17-12-2010"
"13034","642.77","2","16-10-2011"
"13035","886.63","3","27-09-2011"
"13037","881.07","3","28-03-2011"
"13038","908.46","3","22-02-2011"
"13040","676.99","2","06-11-2011"
"13043","471.57","2","31-03-2011"
"13044","560.47","1","21-02-2011"
"13045","305.28000000000003","1","01-09-2011"
"13046","629.3100000000001","2","18-03-2011"
"13047","3079.1","18","30-03-2011"
"13048","1789.41","5","25-11-2011"
"13049","656.6800000000001","2","25-01-2011"
"13050","5684.61","28","31-08-2011"
"13052","348.15000000000003","1","11-05-2011"
"13055","1201.96","4","22-09-2011"
"13058","271.40000000000003","3","15-11-2011"
"13059","183.4","1","04-04-2011"
"13060","307.53","1","31-03-2011"
"13061","248.61","1","28-09-2011"
"13062","346.98","1","01-06-2011"
"13064","1105.59","4","27-11-2011"
"13065","205.86","1","01-12-2010"
"13066","430.90000000000003","3","15-11-2011"
"13067","115.46000000000001","1","18-09-2011"
"13068","344","2","29-11-2011"
"13069","3713.14","27","25-11-2011"
"13070","228.8","1","31-05-2011"
"13072","177.15","1","18-03-2011"
"13075","919.61","1","02-08-2011"
"13077","728.02","4","22-02-2011"
"13078","12432.28","43","31-08-2011"
"13079","220.10000000000002","5","25-09-2011"
"13080","58.08","1","13-06-2011"
"13081","27964.48","21","28-11-2011"
"13082","3595.48","10","30-03-2011"
"13083","303.75","2","25-09-2011"
"13085","272.38","3","28-04-2011"
"13089","57322.13","118","31-08-2011"
"13090","8689.39","18","26-07-2011"
"13091","319.82","2","18-11-2011"
"13092","459.83","6","30-09-2011"
"13093","7741.47","13","25-02-2011"
"13094","1708.8600000000001","16","20-09-2011"
"13095","74.39999999999999","1","30-09-2011"
"13097","5886.12","14","25-03-2011"
"13098","28658.88","41","30-11-2011"
"13099","207.35999999999999","1","01-09-2011"
"13101","101.19","1","19-04-2011"
"13102","6336.29","27","29-07-2011"
"13103","243.94","1","31-10-2011"
"13104","1098.48","6","29-07-2011"
"13106","59.5","2","29-07-2011"
"13107","1524.07","5","26-10-2011"
"13108","350.06","1","02-12-2010"
"13109","766.84","5","28-07-2011"
"13110","1452.8700000000001","8","27-03-2011"
"13113","10510","40","31-05-2011"
"13115","2205.63","14","28-11-2011"
"13116","485.19","2","24-07-2011"
"13117","984.91","8","24-01-2011"
"13118","1125","7","31-03-2011"
"13120","30.599999999999998","1","15-04-2011"
"13121","254.73","2","15-03-2011"
"13122","922.39","2","13-04-2011"
"13124","3756.33","3","15-12-2010"
"13126","2056.29","10","31-03-2011"
"13127","259.17","1","23-09-2011"
"13130","64","1","06-09-2011"
"13131","1039.3","4","29-09-2011"
"13132","77.3","1","23-03-2011"
"13133","109.8","2","11-03-2011"
"13134","1740.63","7","28-09-2011"
"13135","3096","1","27-05-2011"
"13136","2545.38","11","28-07-2011"
"13137","3557.96","9","30-10-2011"
"13138","962.39","6","29-07-2011"
"13139","5055.79","8","28-09-2011"
"13140","422.47","3","23-08-2011"
"13141","2385.8","6","28-01-2011"
"13142","307.09","1","20-11-2011"
"13144","110.95","1","11-01-2011"
"13145","614.77","5","31-10-2011"
"13146","228.91","1","13-11-2011"
"13147","712.8000000000001","4","29-11-2011"
"13148","3324.62","17","30-01-2011"
"13149","1676.06","4","25-11-2011"
"13151","1250.3700000000001","2","20-05-2011"
"13153","486.22","1","04-12-2011"
"13154","-611.86","1","18-07-2011"
"13155","971.76","4","21-09-2011"
"13157","1721.57","5","21-10-2011"
"13158","1201.06","4","25-01-2011"
"13159","1371.25","5","26-08-2011"
"13160","91.8","1","17-11-2011"
"13161","112.75","1","30-01-2011"
"13162","1644.99","5","20-04-2011"
"13165","1021.48","2","24-10-2011"
"13166","414.7","2","02-03-2011"
"13167","791.33","4","21-11-2011"
"13168","1290.54","5","25-01-2011"
"13169","712.88","2","07-10-2011"
"13170","108.81","1","13-11-2011"
"13171","426.81","5","23-11-2011"
"13173","353.65","2","07-12-2010"
"13174","2742.82","3","27-01-2011"
"13176","481.49","1","24-10-2011"
"13177","282.45","1","06-10-2011"
"13178","5725.47","11","29-07-2011"
"13182","121.18","1","25-10-2011"
"13183","3957.78","9","30-08-2011"
"13184","1616.45","12","26-04-2011"
"13185","71.4","1","17-03-2011"
"13186","1539.69","5","31-10-2011"
"13187","236.02","1","06-01-2011"
"13188","114.60000000000001","1","28-11-2011"
"13189","260.68","2","21-11-2011"
"13192","911.94","2","18-05-2011"
"13193","112.08","1","09-10-2011"
"13194","60.7","1","27-07-2011"
"13196","1797.78","4","28-11-2011"
"13198","3384.09","8","29-11-2011"
"13199","9803.960000000001","39","29-11-2011"
"13200","870.09","4","26-09-2011"
"13203","869.46","4","31-10-2011"
"13207","250.26000000000002","2","24-11-2011"
"13208","1199.65","7","17-05-2011"
"13209","5820.16","11","26-04-2011"
"13210","353.48","1","07-09-2011"
"13211","1095.42","3","29-11-2011"
"13212","779.33","4","30-11-2011"
"13213","1518.43","6","24-05-2011"
"13216","333.74","1","17-03-2011"
"13217","133.62","5","31-07-2011"
"13218","62.63999999999999","1","04-08-2011"
"13220","819.2900000000001","4","22-09-2011"
"13221","847.41","2","15-12-2010"
"13223","163.20000000000002","2","23-05-2011"
"13224","2150.85","3","11-07-2011"
"13225","6083.04","8","31-03-2011"
"13226","108.21","1","11-03-2011"
"13227","257.7","1","22-05-2011"
"13228","358","1","19-09-2011"
"13229","160.95","1","28-04-2011"
"13230","2712.07","15","26-04-2011"
"13232","1328.35","7","27-11-2011"
"13233","605.12","2","26-09-2011"
"13235","101.17000000000004","2","12-05-2011"
"13236","727.27","3","25-08-2011"
"13238","680.83","5","29-06-2011"
"13239","329.56","1","23-03-2011"
"13240","663.65","4","27-03-2011"
"13242","270.40000000000003","3","19-08-2011"
"13243","585.12","1","20-05-2011"
"13244","121.74","1","08-09-2011"
"13245","430.5","1","20-10-2011"
"13246","1896.32","7","21-11-2011"
"13247","501.12","4","22-11-2011"
"13248","465.68","2","07-08-2011"
"13249","711.41","3","23-03-2011"
"13253","1030.4","2","06-07-2011"
"13255","390.66","3","30-11-2011"
"13256","0","1","25-11-2011"
"13258","672.83","3","28-11-2011"
"13259","283.18","1","09-10-2011"
"13260","557.62","1","09-10-2011"
"13261","944.1","2","27-02-2011"
"13262","200.29","1","21-03-2011"
"13263","7436.93","35","30-09-2011"
"13265","2092.66","5","17-10-2011"
"13266","3717.67","19","28-11-2011"
"13267","4404.44","27","24-05-2011"
"13268","3127.7","15","30-03-2011"
"13269","5312.97","17","28-11-2011"
"13270","590","1","08-12-2010"
"13271","172.37","2","02-11-2011"
"13272","276.56","2","11-09-2011"
"13273","138.98","1","18-08-2011"
"13276","590.9300000000001","2","07-10-2011"
"13277","258.4","4","29-07-2011"
"13278","542.73","1","30-10-2011"
"13279","126.30000000000001","2","22-09-2011"
"13280","798.46","3","27-01-2011"
"13282","1047.84","6","30-06-2011"
"13283","93.66","2","11-10-2011"
"13284","196.15","2","21-01-2011"
"13285","2709.12","4","27-04-2011"
"13291","361.11","1","07-07-2011"
"13292","578.9399999999999","2","28-02-2011"
"13294","873.74","2","04-04-2011"
"13295","197.95000000000002","2","15-12-2010"
"13296","87.4","1","25-07-2011"
"13297","2089.85","4","16-11-2011"
"13298","360","1","08-12-2011"
"13299","142.5","1","16-03-2011"
"13300","365.29","2","28-06-2011"
"13301","618.09","4","28-08-2011"
"13302","63.75","1","07-07-2011"
"13304","300.42","1","23-12-2010"
"13305","2000.86","10","18-11-2011"
"13307","15","1","11-08-2011"
"13308","1367.6100000000001","4","20-05-2011"
"13309","1456.79","5","25-10-2011"
"13310","1083.63","6","25-01-2011"
"13311","598.57","2","12-07-2011"
"13313","1555.32","5","21-07-2011"
"13314","593.51","4","27-09-2011"
"13316","5570.69","5","31-07-2011"
"13317","2140.07","9","25-05-2011"
